Frame,EAR,MAR,PERCLOS
0,0.3729367957960346,0.4165985279140616,0
1,0.2970275395525167,0.30262874684312724,1.0
2,0.3628896739032189,0.39629003717045397,0.0
3,0.3302856100052116,0.39629003717045397,0.0
4,0.2821969696969697,0.3653600728534992,0.25
5,0.3504649829636901,0.494348104739546,0.0
6,0.35557477709288077,0.46505418095346795,0.0
7,0.36857149208503703,0.39629003717045397,0.0
8,0.39652181006056403,0.347261003385908,0.0
9,0.355653866240663,0.35238060635362667,0.0
10,0.3378693092502033,0.44474569020986027,0.0
11,0.3656760388175504,0.39629003717045397,0.0
12,0.3587026425835367,0.44776673559449515,0.0
13,0.3179300634839692,0.42274036082665584,0.0
14,0.393006031772963,0.35179877236514595,0.0
15,0.3477381587517037,0.39629003717045397,0.0
16,0.3269048254183704,0.42274036082665584,0.0
17,0.38841480175816573,0.30262874684312724,0.0
18,0.3248113857290543,0.4021324658641261,0.0
19,0.34016240117594615,0.4021324658641261,0.0
20,0.33275762637414663,0.4021324658641261,0.0
21,0.2758553840676046,0.5062029716112053,0.047619047619047616
22,0.29914267409473594,0.44531907095499995,0.09090909090909091
23,0.31455209784873994,0.39801487608399566,0.0
24,0.39055775826658157,0.494348104739546,0.0
25,0.39055775826658157,0.4165985279140616,0.0
26,0.417283180023999,0.44531907095499995,0.0
27,0.3477381587517037,0.44776673559449515,0.0
28,0.36568752903089297,0.4141621067847753,0.0
29,0.3628896739032189,0.4141621067847753,0.0
30,0.412038761929,0.45130249138614487,0.0
31,0.35549913081642326,0.4021324658641261,0.0
32,0.41594703296768326,0.4021324658641261,0.0
33,0.37211603694585593,0.4021324658641261,0.0
34,0.37037209526233333,0.4021324658641261,0.0
35,0.35614680114550834,0.39801487608399566,0.0
36,0.2962026425835367,0.47191038634867466,0.027777777777777776
37,0.31448013447884166,0.47191038634867466,0.0
38,0.37633614705631574,0.45130249138614487,0.0
39,0.36568752903089297,0.4021324658641261,0.0
40,0.3855236104138485,0.4021324658641261,0.0
41,0.38855491858963226,0.4462959005607101,0.0
42,0.3955707323066643,0.45130249138614487,0.0
43,0.34229541257377594,0.43834934403426806,0.0
44,0.3920454545454546,0.42274036082665584,0.0
45,0.38477692068070374,0.43834934403426806,0.0
46,0.3952472331569355,0.42274036082665584,0.0
47,0.3977415044422766,0.45130249138614487,0.0
48,0.41421493493510364,0.5008659307963617,0.0
49,0.41933896077929816,0.4165985279140616,0.0
